92-U-234(n,total fission) ENDF/B-VII.1
180.55,0.00611861
180.742,0.00735486
180.907,0.00884106
181.071,0.0109431
181.209,0.0134394
181.319,0.0162099
181.424,0.0198903
181.504,0.0237566
181.579,0.0287958
181.635,0.0339876
181.688,0.0406709
181.732,0.0487236
181.776,0.0600556
181.813,0.073395
181.849,0.0920031
181.881,0.114349
181.914,0.144992
181.946,0.185288
181.978,0.238518
182.01,0.307826
182.044,0.401855
182.08,0.528708
182.123,0.725965
182.173,1.01559
182.247,1.54387
182.366,2.42432
182.431,2.75401
182.49,2.85552
182.55,2.74588
182.607,2.46704
182.706,1.74714
182.792,1.10952
182.842,0.802237
182.884,0.598999
182.922,0.448307
182.956,0.342793
182.989,0.263853
183.022,0.203235
183.055,0.157446
183.089,0.122083
183.121,0.0977351
183.158,0.077449
183.195,0.0629294
183.234,0.051858
183.279,0.0426422
183.337,0.0347199
183.405,0.0282628
183.488,0.0229413
183.584,0.0186078
183.687,0.0152915
183.81,0.0124287
183.954,0.0100549
184.114,0.00818443
184.297,0.00667189
184.513,0.00543439
184.705,0.00465115
184.976,0.00388997
185.214,0.00345729
185.5,0.00316446
185.715,0.00309826
185.941,0.00319679
186.091,0.00339189
186.242,0.00374266
186.354,0.00416149
186.467,0.00479488
186.561,0.00559549
186.638,0.00657123
186.706,0.00789774
186.754,0.00929401
186.801,0.01124
186.838,0.0134884
186.876,0.0166251
186.911,0.0207641
186.947,0.0263366
186.982,0.0338875
187.017,0.0439796
187.051,0.0567454
187.087,0.0741714
187.129,0.100273
187.175,0.136581
187.231,0.191273
187.384,0.36283
187.452,0.417913
187.514,0.437936
187.52,0.438062
187.578,0.423031
187.648,0.37015
187.829,0.17003
187.884,0.120176
187.925,0.0904721
187.961,0.0695812
187.998,0.0527997
188.032,0.0408094
188.066,0.0316373
188.1,0.0247311
188.137,0.0193021
188.172,0.0154838
188.207,0.0126881
188.242,0.0106288
188.288,0.00868401
188.332,0.00738343
188.395,0.00608082
188.47,0.00501852
188.553,0.00420181
188.658,0.0034658
188.786,0.00284089
188.944,0.00230806
189.124,0.00188919
