E(MeV)  pendfb7/Na23:102
0.0311019076  2.27573e-05
0.0315747631  2.34078e-05
0.03189  2.39496e-05
0.03224  2.46849e-05
0.0325025  2.53704e-05
0.032765  2.61953e-05
0.03294  2.68655e-05
0.033115  2.76602e-05
0.03329  2.86189e-05
0.03342125  2.9487e-05
0.0335525  3.0506e-05
0.033675  3.1658e-05
0.03378  3.2826e-05
0.033925775  3.48491e-05
0.034012225  3.63333e-05
0.0340789  3.76727e-05
0.0341516125  3.93766e-05
0.0342464625  4.20749e-05
0.0343036  4.40219e-05
0.03435925  4.62373e-05
0.03440335  4.82589e-05
0.0344702  5.18783e-05
0.034515  5.47674e-05
0.03455  5.73529e-05
0.034585  6.02679e-05
0.03462  6.35894e-05
0.034655  6.73914e-05
0.0346844657  7.10231e-05
0.0347139313  7.51655e-05
0.0347425875  7.97312e-05
0.034769625  8.46056e-05
0.0347966625  9.01859e-05
0.0348323844  9.87951e-05
0.0348501907  0.000103729
0.0348679969  0.000109189
0.0348859125  0.000115279
0.0349039375  0.000122097
0.0349219625  0.000129716
0.0349399875  0.000138263
0.03495775  0.000147733
0.034970875  0.00015554
0.034984  0.000164141
0.034997125  0.000173604
0.03501025  0.000184046
0.035023375  0.000195628
0.0350365  0.000208482
0.035049625  0.000222875
0.03506275  0.00023907
0.0350715  0.000251001
0.03508025  0.000263961
0.035089  0.000278072
0.0351008125  0.000299198
0.0351086875  0.000314791
0.0351165625  0.000331756
0.0351244375  0.00035026
0.0351323125  0.000370495
0.0351401875  0.000392685
0.0351480625  0.000417089
0.0351549532  0.000440497
0.0351638125  0.000473802
0.0351697188  0.000498274
0.035175625  0.000524805
0.0351815313  0.000553646
0.0351874375  0.000585078
0.0351933438  0.000619418
0.03519925  0.000657025
0.0352061407  0.000705594
0.0352130313  0.00075998
0.035217625  0.000799951
0.0352222188  0.000843294
0.0352268125  0.000890406
0.0352314063  0.000941739
0.035236  0.000997805
0.0352399375  0.001050081
0.035243875  0.001106708
0.0352478125  0.001168184
0.03525175  0.001235082
0.0352556875  0.00130806
0.035259625  0.001387883
0.0352635625  0.00147544
0.0352675  0.001571769
0.0352705625  0.001653527
0.035273625  0.001741985
0.0352766875  0.001837898
0.03527975  0.001942126
0.0352828125  0.002055661
0.035285875  0.002179646
0.0352889375  0.002315417
0.035292  0.002464537
0.0352956094  0.002659957
0.0352980157  0.002803739
0.0353004219  0.002959774
