E(MeV)  pendfb7/Ni58:2
0.0136519892  3.14804708
0.0136526332  3.0532022
0.0136532772  2.97832981
0.0136539212  2.9180068
0.0136548872  2.8470592
0.0136558532  2.79279482
0.0136571411  2.73837703
0.0136584291  2.69840955
0.0136603611  2.65698338
0.0136624219  2.6294285
0.0136647403  2.61203028
0.0136678315  2.60349646
0.0136724683  2.61001377
0.0136794234  2.64385757
0.0136863786  2.69315507
0.0136956521  2.77192661
0.0137091377  2.90199543
0.0137288734  3.11279436
0.0137476239  3.33025431
0.0137726245  3.64282975
0.0137976253  3.98210368
0.0138226259  4.34641501
0.0138476266  4.7395828
0.0138726273  5.16110747
0.013897628  5.6150923
0.0139226287  6.10117384
0.0139476294  6.62410857
0.01397263  7.18356358
0.0139976308  7.78500387
0.0140226314  8.4280919
0.0140476321  9.11908078
0.0140726328  9.85762836
0.0140976335  10.6508719
0.0141226342  11.4984479
0.0141476349  12.4085012
0.0141726355  13.3806252
0.0141976363  14.4241083
0.0142226369  15.538469
0.0142476376  16.7342565
0.0142726383  18.0109024
0.014297639  19.3803261
0.0143226397  20.841809
0.0143476404  22.4087586
0.014372641  24.0802095
0.0143976418  25.8711469
0.0144226424  27.7802162
0.0144476431  29.8239646
0.0144726438  32.0034008
0.014505978  35.1396616
0.0145393123  38.5509185
0.0145726465  42.2585847
0.0146059808  46.2807611
0.014639315  50.6325936
0.0146659824  54.3620127
0.0147193172  62.5094199
0.0147459846  66.9318206
0.0147859857  74.0150419
0.0148259868  81.5693338
0.0148659879  89.6141812
0.0149193227  100.919226
0.0150659934  133.298615
0.0151193282  144.316249
0.0151593293  151.833804
0.0151993304  158.490837
0.0152393315  164.118338
0.0152793326  168.589817
0.0153180003  171.749489
0.0153593348  173.821486
0.0154060028  174.618447
0.0154526707  173.880603
0.0154926718  172.185804
0.0155460066  168.650173
0.0155993414  163.978269
0.0156660099  157.036724
0.0159193502  127.662792
0.0160060193  118.328278
0.0160893549  110.088537
0.0161726905  102.579575
0.0162560262  95.8192192
0.0163393618  89.7234405
0.0164226974  84.2642347
0.016506033  79.3477962
0.0165893687  74.9387852
0.0166727043  70.9843327
0.0168060413  65.39959
0.016906044  61.7335499
0.0170060468  58.4942996
0.0171227167  55.1063456
0.017322839  50.1890875
0.0174461965  47.6114813
0.017569554  45.304662
0.0177108  42.9591267
0.0178806418  40.4910282
0.0180361641  38.4984802
0.0182044029  36.5911316
0.0183768806  34.8574331
0.0185675  33.1585412
0.0187976  31.3639054
0.01899938  29.9951773
0.0190095871  30.1927939
0.019019145  29.8853513
0.0191342906  29.1405155
0.0193813843  27.7501518
0.0196729917  26.312367
0.01995366  25.112291
0.019992347  25.0081486
0.0200037773  25.076166
0.0200070745  25.1740322
0.0200092067  25.33185
0.0200107564  25.5745809
0.0200117895  25.8543656
0.0200126468  26.1994643
0.0200133282  26.5726903
0.0200140096  27.0559669
0.020014691  27.6705348
0.0200154714  28.5607751
0.0200161308  29.4838019
0.0200167902  30.5697974
0.0200174497  31.8147277
0.0200181091  33.2014231
0.0200207468  39.3351094
0.0200214062  40.7007086
0.0200219558  41.6785411
0.0200225053  42.4679323
0.0200231559  43.1139104
0.020024008  43.42761
0.0200245627  43.2921014
0.0200251431  42.8694599
0.0200258025  42.0675029
0.020026363  41.1520868
0.0200269895  39.9255895
0.0200302428  32.4624709
0.0200309022  31.1430798
0.0200315616  29.9752647
0.0200322211  28.968937
0.0200328805  28.1231753
0.0200336938  27.2859557
0.0200344412  26.6932047
0.0200351885  26.2416392
0.0200363095  25.7689888
0.0200374086  25.4745125
0.0200385077  25.2872066
0.0200407058  25.0839326
0.020045102  24.9193839
0.0200565323  24.7670469
0.0201066495  24.515389
0.0204189037  23.3924418
0.0207905958  22.2333059
0.021043536  21.552617
0.021084752  21.4958168
0.021102784  21.5377793
0.021112444  21.6409883
0.021118884  21.8174069
0.021122104  21.9911234
0.0211248088  22.2422382
0.0211268374  22.5695769
0.0211279966  22.8641712
0.0211289626  23.2124267
0.0211299286  23.7027012
0.0211306531  24.202511
0.0211313776  24.8553105
0.0211320216  25.5995036
0.0211325046  26.2810983
0.0211329876  27.0865579
0.0211334706  28.0328219
0.0211339536  29.1368258
0.0211344366  30.4147084
0.0211349196  31.8808458
0.0211354026  33.5467342
0.0211358856  35.4197628
0.0211363686  37.501938
0.0211369482  40.2695803
0.0211375761  43.572772
0.021138204  47.1407578
0.021140136  58.7978648
0.02114078  62.4595681
0.0211414079  65.6697548
0.0211419392  67.9986133
0.0211424126  69.7044413
0.0211428666  70.9663356
0.021143356  71.8771579
0.021144  72.3200383
0.0211445152  72.0412951
0.0211450111  71.2501072
0.0211454168  70.2390822
0.0211458998  68.6408411
0.0211463828  66.6594062
0.0211469946  63.690066
0.0211475742  60.514482
0.021149796  47.1779025
0.02115044  43.5199832
0.0211510196  40.4645928
0.0211515992  37.6777807
0.0211520339  35.7789776
0.0211524686  34.0490913
0.0211529194  32.4330276
0.0211534024  30.8970709
0.0211538854  29.5533623
0.0211543684  28.3884254
0.0211548514  27.3866568
0.0211553344  26.5313439
0.0211558174  25.8055174
0.0211563004  25.1926231
0.0211569444  24.524246
0.0211575884  23.9954543
0.0211585061  23.4271613
0.0211591018  23.146675
0.0211602932  22.731611
0.0211614846  22.4472119
0.021163481  22.1361283
0.021165896  21.9034186
0.021169116  21.7096016
0.021175556  21.495322
0.021185216  21.3381829
0.021205824  21.1856737
0.021290832  20.9088413
0.0216734485  20.0095484
0.022181162  18.9775961
0.02265901  18.1318614
0.02325632  17.2001902
0.0239381358  16.2812116
0.024756302  15.335784
0.0247582445  15.3358101
0.0254565448  14.622468
0.02603822  14.0975679
0.026046085  14.1194396
0.02604911  14.1858436
0.0260512427  14.2928606
0.026057459  14.8573891
0.026059954  14.9576304
0.026061694  14.9076477
0.02606726  14.3907947
0.0260697103  14.2172067
0.026072705  14.1127682
0.02607815  14.0658348
0.0265797075  13.6584322
0.0266048063  13.6852347
0.0266146275  13.7444801
0.0266200838  13.8325437
0.026623494  13.9587093
0.02662554  14.1151195
0.0266266313  14.2535032
0.0266277225  14.4574802
0.026628541  14.6729632
0.0266293594  14.9618543
0.026629905  15.2059388
0.0266306144  15.5987106
0.0266313237  16.0926331
0.026632033  16.7054055
0.026632565  17.2531391
0.0266330152  17.7808483
0.0266335608  18.5037628
0.0266341064  19.3211979
0.026634652  20.2339716
0.0266351977  21.2398669
0.0266360161  22.9080541
0.0266368345  24.7317947
0.0266388533  29.4606723
0.0266396717  31.2319006
0.0266402173  32.285611
0.0266407903  33.2437971
0.0266413632  34.0184531
0.0266418815  34.5389277
0.026642498  34.9135916
0.026643012  35.0123575
0.026643622  34.8733526
0.026644255  34.4415111
0.0266448006  33.8483593
0.0266453462  33.0703899
0.0266461238  31.6908661
0.0266469285  30.0090046
0.026649343  24.3969615
0.0266501205  22.6885539
0.0266509117  21.1002697
0.0266514573  20.110755
0.0266520029  19.2143999
0.0266525485  18.4130343
0.0266531214  17.6723659
0.0266537216  17.0023207
0.0266543218  16.4330036
0.026654922  15.9549032
0.0266554812  15.5823719
0.0266562587  15.1647578
0.0266570363  14.843678
0.0266578138  14.599005
0.0266588505  14.3619939
0.0266600509  14.1765294
0.0266620969  13.9893976
0.026664825  13.8597388
0.0266702813  13.7379849
0.0266790113  13.6541838
0.0267019275  13.5755546
0.0268326753  13.4396948
0.027618603  12.8523426
0.0276304476  12.8750273
0.0276528295  12.826394
0.0287850579  12.075283
0.0301026588  11.302182
0.031488  10.5775322
0.0320038075  10.351147
0.03210784  10.3329283
0.0321913  10.363553
0.0322355  10.4352642
0.03224915  10.4875291
0.032253375  10.5444673
0.0322563  10.6543936
0.0322585913  10.8212058
0.0322604275  11.0167432
0.03226501  11.598685
0.032266765  11.7404074
0.032268195  11.7781268
0.0322696575  11.737418
0.03227125  11.613788
0.03227554  11.1144562
0.0322777616  10.9073602
0.0322793843  10.8068925
0.0322820888  10.7214083
0.032285214  10.7001683
0.032293628  10.7594464
0.0323037248  10.8850067
0.0323133408  11.0552736
0.0323205528  11.2297448
0.0323277648  11.4634452
0.0323325728  11.6657428
0.0323373808  11.9197375
0.0323427898  12.2909049
0.0323463958  12.6075054
0.0323500018  12.9999746
0.0323530068  13.4034733
0.0323554108  13.7910245
0.0323578148  14.2515621
0.0323602188  14.8041948
0.0323620218  15.2941898
0.0323638248  15.8642038
0.0323656278  16.5319466
0.0323674308  17.3199322
0.0323686328  17.9259305
0.0323698348  18.6083394
0.0323710368  19.3793203
0.0323723891  20.3703331
0.0323737413  21.5149504
0.0323750936  22.8406133
0.0323759951  23.8399472
0.0323768966  24.9431206
0.0323777981  26.1602538
0.0323788498  27.7376607
0.0323797513  29.2357265
0.0323806528  30.87737
0.0323815543  32.668989
0.0323824558  34.6141208
0.0323836458  37.4155403
0.0323848238  40.436714
0.0323860017  43.6713421
0.0323906534  57.1328337
0.032391615  59.6450038
0.0323926728  62.1082345
0.0323937306  64.1625917
0.0323946922  65.6021298
0.0323956538  66.5794371
0.0323970192  67.1049454
0.0323979424  66.868697
0.0323987309  66.2943153
0.0323996925  65.1522282
0.0324006541  63.5659918
0.0324015917  61.6465489
0.0324025292  59.4227585
0.0324036471  56.4684796
0.0324076978  44.7374057
0.0324088998  41.3982015
0.0324101018  38.2670223
0.0324113038  35.3842823
0.0324125058  32.7693043
0.0324134073  30.9858547
0.0324143088  29.3511509
0.0324152103  27.8588017
0.0324161118  26.5005119
0.0324172237  24.9957918
0.0324182454  23.7641982
0.0324192671  22.6623223
0.0324202888  21.6762312
0.0324213105  20.792935
0.0324223322  20.000574
0.0324238647  18.9595685
0.0324254874  18.0200316
0.0324272904  17.1365941
0.0324290934  16.3902491
0.0324308964  15.7549658
0.0324326994  15.2102931
0.0324345024  14.7400984
0.0324369064  14.207288
0.0324393104  13.7609408
0.0324417144  13.3834352
0.0324451401  12.9386576
0.0324482052  12.6129549
0.032452292  12.2588633
0.0324563788  11.9742038
0.0324604656  11.7418698
0.0324676776  11.4243694
0.0324748896  11.189439
0.0324845056  10.9601317
0.0324941216  10.7937957
0.0325071032  10.6324826
0.0325234504  10.4923879
0.032550856  10.3441263
0.03258932  10.2235711
0.032647016  10.1210312
0.03278164  9.99261146
0.033204744  9.75223689
0.03419888  9.26334899
0.03421659  9.28390522
0.0342214988  9.32277727
0.0342236163  9.37105388
0.0342256375  9.46937144
0.0342270813  9.5990981
0.0342280438  9.728435
0.0342289582  9.89356721
0.0342298244  10.0963061
0.0342306907  10.3515999
0.0342315569  10.6654197
0.0342325675  11.1102175
0.0342334338  11.5585655
0.0342343  12.063146
0.03423738  14.0908842
0.034238458  14.7510383
0.034239228  15.1557062
0.034239998  15.4826478
0.0342407295  15.7063482
0.0342414456  15.8330757
0.0342420123  15.864677
0.0342428085  15.8048302
0.0342435785  15.6343954
0.034244233  15.4090989
0.034245003  15.0613786
0.034245773  14.6407692
0.034249392  12.2841767
0.0342504893  11.6298981
0.034251471  11.1183343
0.0342524528  10.6855219
0.0342532613  10.3888716
0.0342542238  10.1020128
0.0342551863  9.87944527
0.0342561488  9.71115983
0.0342575925  9.53786388
0.034258555  9.46127545
0.03426048  9.36771057
0.034263175  9.30745066
0.03426972  9.25931491
0.0342959  9.21348349
0.035063227  8.73225849
0.0350670824  8.73241283
0.035349724  8.47346974
0.035510396  8.27237798
0.035610816  8.10406517
0.035691152  7.92808156
0.035751404  7.7569007
0.035791572  7.6146056
0.03583174  7.43963757
0.0358631213  7.27121165
0.035897013  7.04509339
0.0359196075  6.85855296
0.035942202  6.63247898
0.0359591479  6.42841748
0.0359760938  6.18507171
0.0359920355  5.90903554
0.0360013243  5.72119925
0.0360106132  5.50831085
0.036019902  5.26549263
0.0360270569  5.05400426
0.0360345884  4.80357179
0.0360421199  4.51911628
