E(MeV)  pendfb7/Cr52:102
0.01939769  0.316563762
0.0193980365  0.32843564
0.0193983335  0.337360738
0.0193986635  0.345779703
0.019399043  0.353347409
0.0193993895  0.358152416
0.0193997567  0.360952983
0.019399999  0.361481127
0.0194003919  0.360094233
0.0194008003  0.35574773
0.019401122  0.350307067
0.019401551  0.340442841
0.019401914  0.329947506
0.019402376  0.314071008
0.019402805  0.297184987
0.0194033  0.275690724
0.0194039188  0.246766503
0.019405115  0.188865688
0.01940561  0.165683045
0.0194060225  0.147225852
0.019406435  0.129771696
0.0194067444  0.117433669
0.0194070538  0.105796442
0.0194073632  0.094893689
0.0194076725  0.084748717
0.0194078788  0.078405653
0.0194081521  0.070523614
0.0194083532  0.065099555
0.0194085543  0.059989038
0.0194087554  0.05518601
0.0194089565  0.050683134
0.0194091575  0.046473978
0.0194093587  0.042543058
0.0194095598  0.038886235
0.0194097609  0.035490626
