92-U-234(n,&gamma;) ENDF/B-VII.1
177.145,4.98258
177.23,4.12
177.341,3.33825
177.469,2.70544
177.61,2.22229
177.782,1.8159
177.962,1.52387
178.166,1.29672
178.371,1.14264
178.619,1.0212
178.873,0.949366
179.213,0.916151
179.536,0.942526
179.859,1.02798
180.156,1.17412
180.403,1.36745
180.609,1.60427
180.808,1.93434
180.985,2.35704
181.136,2.87583
181.273,3.55092
181.393,4.40352
181.482,5.29122
181.559,6.36193
181.63,7.76368
181.686,9.36929
181.734,11.3507
181.776,13.8527
181.813,16.8963
181.849,21.1416
181.881,26.239
181.915,33.3712
181.949,43.3749
181.983,56.8363
182.014,72.6416
182.05,96.1695
182.085,126.254
182.128,171.13
182.178,238.517
182.254,363.562
182.366,553.096
182.431,628.294
182.49,651.447
182.55,626.446
182.607,562.854
182.706,398.675
182.792,253.258
182.842,183.18
182.884,136.831
182.922,102.465
182.956,78.4034
182.989,60.4025
183.022,46.58
183.055,36.14
183.089,28.078
183.121,22.5279
183.158,17.9047
183.195,14.5969
183.239,11.77
183.279,9.97876
183.337,8.17818
183.405,6.71341
183.485,5.53767
183.581,4.55351
183.684,3.80628
183.822,3.11018
183.982,2.56347
184.165,2.15133
184.348,1.88254
184.577,1.67885
184.856,1.56953
184.953,1.56102
185.224,1.61283
185.495,1.78932
185.675,1.99855
185.855,2.3137
186.036,2.78762
186.176,3.32721
186.297,3.97771
186.417,4.90554
186.511,5.94522
186.59,7.17982
186.658,8.69149
186.71,10.3651
186.757,12.4408
186.801,15.2303
186.84,18.7934
186.875,23.1861
186.91,29.1972
186.945,37.406
186.98,48.2056
187.015,62.9644
187.05,82.3538
187.089,110.525
187.131,149.79
187.177,204.284
187.237,292.531
187.384,537.899
187.446,614.386
187.508,648.812
187.52,649.733
187.576,628.904
187.634,568.253
187.727,421.52
187.823,260.662
187.876,187.309
187.921,137.344
187.957,105.541
187.993,80.381
188.026,62.4018
188.058,49.0556
188.09,38.7648
188.121,30.9168
188.157,24.2557
188.192,19.5985
188.232,15.7088
188.272,12.9431
188.322,10.5182
188.372,8.8184
188.435,7.30642
188.51,6.02267
188.598,4.95266
188.703,4.03229
188.831,3.23995
188.966,2.64213
189.124,2.14053
189.3,1.74038
189.5,1.4119
189.736,1.1371
189.982,0.931893
190.288,0.749645
190.638,0.602854
191.03,0.48787
191.451,0.400428
191.942,0.328983
192.431,0.280156
192.85,0.253694
193.13,0.246688
193.296,0.250041
193.425,0.261577
193.511,0.2812
193.571,0.309812
193.621,0.354229
193.662,0.417422
193.695,0.495554
193.728,0.609913
193.757,0.751005
193.786,0.943046
193.815,1.20047
193.846,1.56758
193.879,2.07282
193.911,2.72887
193.949,3.71564
193.987,4.96633
194.033,6.86017
194.101,10.3423
194.212,16.3741
194.281,19.1083
194.341,20.0974
194.35,20.114
194.41,19.341
194.469,17.2141
194.569,11.9857
194.648,7.76268
194.7,5.4548
194.739,4.05239
194.776,3.01451
194.808,2.2969
194.839,1.73569
194.871,1.30714
194.901,1.00501
194.93,0.784485
194.959,0.620706
194.988,0.500584
195.017,0.413325
195.046,0.350307
195.079,0.299485
195.121,0.257274
195.172,0.224805
195.252,0.196268
195.358,0.174949
195.517,0.155534
195.782,0.135817
196.207,0.117136
196.827,0.100625
197.506,0.0881847
198.593,0.0745348
199.952,0.0635215
200.768,0.0591378
202.384,0.0549429
202.464,0.0549183
203.333,0.0562455
204.121,0.0607525
204.808,0.069015
205.293,0.0798107
205.697,0.0944435
206.014,0.111897
206.276,0.133266
206.501,0.159823
206.692,0.191967
206.872,0.234967
207.028,0.288643
207.166,0.357141
207.278,0.437106
207.375,0.536126
207.444,0.638402
207.497,0.75116
207.544,0.896226
207.586,1.08271
207.621,1.31444
207.651,1.58421
207.679,1.93961
207.709,2.44264
207.738,3.13345
207.763,3.89884
207.788,4.88537
207.817,6.4378
207.846,8.4174
207.877,11.2322
207.908,14.8891
207.943,20.131
207.978,27.02
208.019,37.1916
208.067,51.7392
208.132,76.2558
208.261,129.393
208.329,149.418
208.391,157.072
208.4,157.208
208.457,152.103
208.514,137.858
208.603,103.518
208.705,61.8519
208.759,43.4198
208.802,31.5385
208.841,23.1734
208.877,16.9742
208.909,12.8094
208.94,9.58545
208.968,7.40761
208.995,5.72062
209.024,4.39027
209.049,3.51443
209.078,2.72081
209.108,2.14125
209.137,1.71943
209.169,1.39473
209.204,1.137
209.246,0.931096
209.287,0.789369
209.346,0.651536
209.41,0.551128
209.488,0.461727
209.599,0.373541
209.717,0.306891
209.855,0.251187
210.025,0.202905
210.218,0.164554
210.405,0.138048
210.647,0.1133
210.938,0.092737
211.218,0.0787282
211.557,0.0663608
211.982,0.0556686
212.492,0.0468599
213.104,0.0396318
213.92,0.0333942
214.872,0.0288325
216.12,0.0254038
217.141,0.0240399
217.482,0.0239078
218.269,0.024565
218.662,0.0257166
219.056,0.0281052
219.332,0.0312838
219.563,0.0359147
219.724,0.0413112
219.853,0.0482455
219.932,0.0550614
219.991,0.0630119
220.04,0.0733373
220.08,0.0859119
220.116,0.102946
220.149,0.125383
220.182,0.157505
220.212,0.198037
220.241,0.253572
220.271,0.328974
220.301,0.430152
220.329,0.555633
220.357,0.722303
220.39,0.969335
220.423,1.28826
220.458,1.71296
220.498,2.33876
220.544,3.23602
220.604,4.65874
220.759,8.92528
220.825,10.2368
220.89,10.7968
220.9,10.8068
220.962,10.4107
221.024,9.31414
221.124,6.66308
221.215,4.18928
221.269,2.95664
221.315,2.11708
221.355,1.55004
221.389,1.16029
221.419,0.895976
221.448,0.687023
221.478,0.524696
221.508,0.400625
221.536,0.310567
221.566,0.24025
221.595,0.188547
221.625,0.150854
221.651,0.126476
221.681,0.105867
221.718,0.0878391
221.762,0.0736306
221.812,0.0635363
221.882,0.0546876
221.966,0.0481319
222.106,0.0414316
222.276,0.0365733
222.45,0.0335394
222.683,0.0312243
223.033,0.0298928
223.149,0.0298452
223.526,0.0307791
223.902,0.0333146
224.279,0.0379015
224.561,0.0435795
224.8,0.0508895
225.018,0.0608319
225.199,0.073107
225.348,0.0876607
225.483,0.106716
225.595,0.129943
225.673,0.153206
225.735,0.179973
225.789,0.214727
225.828,0.251025
225.868,0.304629
225.904,0.37636
225.934,0.460979
225.964,0.577819
225.995,0.739058
226.022,0.935114
226.05,1.20373
226.076,1.52781
226.106,2.02246
226.136,2.67342
226.166,3.5164
226.199,4.69325
226.234,6.27776
226.272,8.48879
226.317,11.794
226.368,16.5499
226.451,25.8341
226.567,39.0721
226.634,44.2225
226.7,46.0793
226.762,44.42
226.827,39.5608
226.928,28.2821
227.023,17.4081
227.078,12.2106
227.121,8.94045
227.159,6.63967
227.194,4.98115
227.225,3.80062
227.255,2.89669
227.285,2.19491
227.316,1.65887
227.342,1.30614
227.368,1.02446
227.394,0.815681
227.42,0.656138
227.446,0.5348
227.477,0.427173
227.508,0.349804
227.543,0.288609
227.584,0.238075
227.626,0.203384
227.681,0.171654
227.75,0.144874
227.833,0.122576
227.936,0.102776
228.061,0.085858
228.22,0.0707536
228.413,0.0582653
228.627,0.0489422
228.867,0.0418009
229.141,0.0362842
229.485,0.0317527
229.909,0.0282116
230.388,0.0259244
230.963,0.0246821
231.155,0.0245601
231.97,0.0251089
232.581,0.026824
233.216,0.0301388
233.756,0.0347406
234.187,0.0402692
234.619,0.0483001
234.942,0.0570953
