94-Pu-241(n,&gamma;) ENDF/B-VII.1
57.6364,1.72361
57.6839,1.99662
57.7374,2.43983
57.7968,3.12125
57.9519,5.31339
58.0175,5.93725
58.1011,6.30262
58.1641,6.3671
58.2641,6.18331
58.369,5.57486
58.5578,4.15743
58.6599,3.6723
58.762,3.46319
58.796,3.45117
58.8987,3.58321
59.0014,3.97895
59.0921,4.57106
59.2255,5.82967
59.3645,7.16827
59.4532,7.55651
59.4646,7.56449
59.5479,7.3304
59.78,5.56784
59.855,5.30637
59.8898,5.29728
59.9488,5.47571
60.0079,5.95374
60.0522,6.57654
60.1039,7.72134
60.1469,9.18997
60.1816,10.8907
60.2163,13.246
60.2523,16.6177
60.2875,21.114
60.3255,27.5537
60.3724,37.877
60.4821,66.1762
60.5286,74.1745
60.5644,76.3936
60.5983,74.8983
60.6483,67.0507
60.7764,35.6004
60.8208,26.9178
60.8603,21.0335
60.8986,16.7863
60.9378,13.6037
60.9793,11.148
61.0209,9.3446
61.0787,7.54651
61.141,6.21433
61.2137,5.17416
61.2914,4.47365
61.3769,4.04204
61.4714,3.86572
61.4804,3.86292
61.5663,3.94971
61.6737,4.34862
61.7811,5.1007
61.8945,6.30794
62.1133,9.14223
62.211,9.795
62.2363,9.82774
62.3014,9.62954
62.4099,8.5311
62.6341,5.32803
62.7426,4.12712
62.8457,3.28739
62.9542,2.65322
63.0627,2.20218
63.1848,1.84422
63.3068,1.5939
63.4425,1.40231
63.6233,1.24605
63.7928,1.18047
63.8426,1.17643
63.9533,1.20426
64.0177,1.26595
64.0607,1.35037
64.1036,1.50179
64.1358,1.68616
64.1734,2.01253
64.211,2.4915
64.2553,3.2696
64.3625,5.52912
64.4073,6.09656
64.435,6.19497
64.4762,5.95607
64.5295,5.11082
64.6165,3.40109
64.6565,2.81227
64.6958,2.42175
64.7236,2.24866
64.7584,2.12942
64.7932,2.09161
64.8454,2.13823
64.9324,2.39041
65.0052,2.73859
65.088,3.32247
65.1586,4.06111
65.2189,4.97115
65.2706,6.07048
65.3223,7.61552
65.3706,9.63872
65.4188,12.4268
65.4653,16.0076
65.5239,21.8187
65.638,34.8331
65.6904,39.0811
65.74,40.593
65.7924,39.118
65.8479,34.6761
65.9771,20.8059
66.0314,16.2984
66.0736,13.7566
66.1081,12.2902
66.1426,11.3335
66.1857,10.8196
66.1943,10.8079
66.2383,11.2523
66.2785,12.4869
66.3186,14.6773
66.3579,17.9048
66.4028,22.9948
66.4825,34.7251
66.5472,43.5919
66.5899,46.9656
66.6154,47.5703
66.6545,46.2621
66.703,41.3152
66.8373,20.7274
66.8805,15.4605
66.9198,11.7965
66.9552,9.32677
66.9933,7.37157
67.0326,5.93584
67.0742,4.86358
67.1219,4.00597
67.1791,3.30734
67.2459,2.76558
67.3223,2.36114
67.4177,2.05294
67.5131,1.89473
67.6029,1.86249
67.6794,1.93762
67.7304,2.063
67.7814,2.287
67.826,2.6226
67.8643,3.09368
67.8978,3.73917
67.9265,4.56069
67.9504,5.51318
67.9759,6.88567
68.0025,8.81058
68.0317,11.6375
68.0622,15.4953
68.1002,21.587
68.2022,40.9399
68.2422,46.2991
68.2825,48.3618
68.2839,48.3638
68.317,47.0327
68.3574,42.2153
68.4233,30.0205
68.4775,19.9045
68.5125,14.5967
68.5412,11.1784
68.5699,8.56133
68.5944,6.88569
68.6209,5.53969
68.6475,4.5842
68.6741,3.92438
68.7059,3.41807
68.7378,3.13925
68.7718,3.03711
68.8092,3.14435
68.84,3.44
68.8647,3.86038
68.8903,4.53563
68.9151,5.50682
68.9399,6.89126
68.9648,8.80472
68.9896,11.3647
69.0164,14.9667
69.048,20.396
69.0905,29.5615
69.1686,47.8084
69.2064,54.1252
69.2456,56.8121
69.2491,56.8305
69.2856,54.8253
69.3278,48.1298
69.4378,22.6967
69.4713,16.369
69.4997,12.1287
69.5257,9.12078
69.5494,7.03186
69.573,5.45617
69.5937,4.41724
69.6186,3.49448
69.6434,2.83529
69.6724,2.29892
69.6972,1.97504
69.7339,1.64267
69.7694,1.42332
69.8167,1.22026
69.8758,1.04727
69.9507,0.899123
70.0493,0.771002
70.1478,0.686403
70.2711,0.616626
70.4043,0.569361
70.5819,0.536118
70.7343,0.528461
70.8975,0.541312
71.0607,0.584308
71.1695,0.646318
71.2348,0.715544
71.2935,0.827062
71.3327,0.950461
71.3719,1.13705
71.41,1.40173
71.4516,1.80532
71.5035,2.47451
71.5917,3.74669
71.6387,4.21965
71.6848,4.37995
71.7266,4.24647
71.7994,3.60268
71.859,3.05333
71.897,2.83558
71.9311,2.76352
71.9653,2.81475
72.0108,3.06363
72.068,3.62293
72.2223,5.71849
72.2911,6.33057
72.3316,6.43495
72.3893,6.21355
72.4536,5.53451
72.6117,3.26786
72.6812,2.49469
72.742,2.00036
72.8027,1.64643
72.8659,1.38875
72.9418,1.18236
73.0127,1.05774
73.1037,0.962522
73.1948,0.921705
73.2403,0.919591
73.3352,0.960278
73.3985,1.03807
73.4459,1.1484
73.4854,1.30696
73.5186,1.52525
73.5439,1.77654
73.5692,2.13761
73.5945,2.65278
73.6173,3.29325
73.6426,4.25847
73.6679,5.5525
73.6957,7.42211
73.7261,10.042
73.7644,14.1631
73.8538,25.0344
73.894,28.5534
73.9341,29.9728
73.9375,29.9819
73.9746,28.9342
74.0135,25.8414
74.082,17.7072
74.1317,11.8621
74.1639,8.75737
74.1936,6.49618
74.2191,5.00198
74.2446,3.87265
74.2701,3.04579
74.2934,2.49922
74.3155,2.12234
74.345,1.77647
74.3745,1.55391
74.404,1.41105
74.4482,1.28607
74.522,1.19866
74.5764,1.18277
74.6668,1.20799
74.7872,1.31722
74.9077,1.51492
75.0131,1.78663
75.1024,2.12882
75.1766,2.5394
75.2446,3.08137
75.3002,3.72138
75.3466,4.48172
75.3883,5.45726
75.4231,6.60421
75.4579,8.21602
75.4907,10.3633
75.5208,13.0816
75.551,16.749
75.5815,21.6757
75.6163,29.0448
75.6557,39.8224
75.7137,59.553
75.7886,85.4887
75.8263,94.5726
75.8697,98.8454
75.8727,98.8615
75.916,95.0646
75.9664,82.5176
76.0792,43.2919
76.1186,31.9746
76.1534,24.1116
