94-Pu-239(n,total fission) ENDF/B-VII.1
73.9289,81.8335
73.9922,118.32
74.0596,157.931
74.0997,173.548
74.1317,178.121
74.1721,172.085
74.2167,151.431
74.3235,78.5949
74.3579,59.9816
74.383,49.9364
74.4023,44.3452
74.4216,40.6068
74.4481,38.3398
74.4554,38.2669
74.4771,39.3638
74.5061,43.7327
74.535,51.3124
74.5664,63.3281
74.5954,78.4834
74.6243,98.481
74.6545,125.894
74.6832,159.957
74.7151,209.156
74.7498,279.407
74.7865,374.871
74.8358,536.96
74.9439,941.536
74.9855,1051.53
75.031,1101.54
75.0346,1101.87
75.0745,1069.57
75.124,949.394
75.2525,485.227
75.2971,354.287
75.336,266.218
75.3688,209.751
75.4017,166.951
75.4382,131.875
75.4748,106.6
75.5161,86.235
75.5583,71.3706
75.609,58.617
75.668,48.0973
75.7356,39.5775
75.8144,32.5192
75.9044,26.7936
76.0095,22.0641
76.137,18.0494
76.2815,14.8866
76.4503,12.3107
76.6473,10.228
76.877,8.5459
77.1678,7.08738
77.5289,5.86226
77.9712,4.83245
78.3644,4.17453
78.6959,3.83044
78.7415,3.82307
78.9649,3.97353
79.049,3.84687
79.25,3.01715
79.3215,2.87927
79.3931,2.85415
79.6078,3.0469
79.7867,3.41595
79.9238,3.91087
80.0455,4.5834
80.1612,5.50565
80.2757,6.77709
80.3997,8.67412
80.519,11.1333
80.6502,14.6868
80.81,20.2896
81.1058,33.2389
81.3204,42.184
81.5113,47.9035
81.7498,51.6333
82.4463,53.8516
82.7981,57.8452
82.9666,57.3289
83.1634,59.0717
83.4921,65.9465
83.8391,77.334
84.1587,92.9758
84.5014,116.926
85.2635,188.934
85.3536,207.635
85.4571,246.956
85.5474,283.329
85.6101,292.295
85.6723,280.308
85.7649,235.083
85.8594,187.596
85.9248,165.022
86.0254,143.708
86.2518,114.08
86.5184,86.5227
86.7749,66.3909
87.0163,52.4479
87.2603,42.1026
87.5219,34.0237
87.7971,27.891
88.122,22.7543
88.4933,18.7158
88.895,15.7894
89.2967,13.8416
89.6984,12.6095
89.9662,12.1869
90.1001,12.1718
90.2608,12.6087
90.3211,13.1588
90.3813,14.3783
90.4265,16.2528
90.4642,18.9854
90.4943,22.3555
90.527,27.6559
90.5571,34.4853
90.5882,43.854
90.6244,57.9048
90.6726,81.3857
90.763,128.872
90.8098,145.485
90.8514,150.586
90.8942,145.089
90.9451,126.37
91.0642,64.7196
91.1044,48.0354
91.1379,37.2693
91.1714,29.2325
91.2007,24.1219
91.2299,20.446
91.2651,17.4517
91.3002,15.5302
91.3354,14.3002
91.3923,13.1412
91.4927,12.1833
91.6266,11.6137
91.9681,11.145
92.0819,11.1194
92.5329,11.3931
92.7184,11.9378
92.8111,12.7137
93.0172,15.5159
93.0625,15.6842
93.1532,15.0167
93.3016,12.9468
93.4087,12.3296
93.6148,12.5903
94.1573,14.4122
94.494,16.1439
94.7828,18.4178
94.9634,20.8142
95.058,23.1475
95.1311,26.4563
95.1834,30.343
95.2337,35.8128
95.2952,45.0226
95.4181,66.9637
95.4815,74.1188
95.5178,75.337
95.5761,72.6356
95.6522,63.0936
95.7436,50.5597
95.7866,46.3618
95.846,42.9059
95.9055,41.7674
95.9947,42.8046
96.2447,51.5335
96.4756,59.0272
96.6412,60.8541
96.7998,58.882
97.029,51.4116
97.3948,38.0454
97.6231,32.065
97.9022,27.2108
98.1559,24.3997
98.5364,21.8379
99.0692,19.8967
101.53,14.6997
102.592,12.251
102.615,12.2432
102.703,12.4459
102.773,13.1883
102.834,14.6922
102.894,17.2644
102.965,21.7703
103.05,27.5198
103.111,29.9786
103.137,30.2562
103.191,29.1742
103.254,25.6143
103.365,17.5092
103.427,14.0983
103.478,12.2418
103.519,11.2653
103.573,10.4523
103.681,9.68386
104.126,8.4485
104.848,7.00376
104.915,6.95987
104.998,7.16064
105.048,7.629
105.098,8.62948
105.139,10.1087
105.177,12.117
105.221,15.3021
105.279,21.0361
105.379,31.8348
105.434,35.7438
105.476,36.646
105.521,35.4661
105.572,31.8994
105.708,18.5216
105.759,14.7189
105.806,12.2821
105.856,10.6013
105.902,9.67589
105.972,9.02059
106.035,8.86969
106.116,9.06065
106.18,9.53238
106.245,10.4679
106.3,11.9661
106.334,13.4721
106.367,15.7001
106.401,18.9864
106.429,22.8474
106.461,28.7965
106.492,36.7682
106.526,48.5777
106.564,65.5939
106.611,92.1612
106.73,171.18
106.782,194.821
106.827,202.233
106.868,196.605
106.913,178.226
106.982,134.146
107.058,82.8273
107.099,59.8994
107.136,44.0335
107.166,33.7692
107.196,25.9036
107.226,20.0506
107.256,15.7985
107.287,12.7625
107.316,10.6926
107.347,9.07888
107.387,7.72213
107.427,6.82282
107.491,5.90564
107.577,5.1664
107.685,4.5843
107.857,4.0065
108.064,3.56716
108.474,3.01439
109.009,2.54044
109.486,2.2411
109.843,2.12534
109.98,2.17226
110.048,2.27564
110.117,2.5183
110.173,2.91038
110.22,3.44288
110.266,4.21324
110.322,5.46445
110.451,8.82874
110.503,9.6752
110.54,9.86132
110.587,9.54133
110.643,8.44299
110.782,4.50317
110.83,3.41174
110.872,2.68883
110.915,2.17316
110.957,1.82532
110.999,1.59983
111.063,1.40533
111.126,1.30259
111.287,1.17862
111.662,1.03296
111.984,0.957989
112.299,0.932347
112.519,0.957182
112.739,1.03578
112.942,1.1792
113.112,1.37439
113.281,1.66661
113.445,2.07803
113.608,2.64735
113.768,3.41014
113.933,4.4318
114.208,6.58869
114.459,8.52859
114.673,9.57488
114.925,10.4326
115.034,11.4843
115.263,15.3697
115.337,15.8285
115.436,15.2004
115.522,14.1961
115.573,13.8962
115.623,14.1528
115.674,15.2804
115.716,17.1369
115.756,19.9576
115.796,24.0631
115.835,29.5768
115.881,38.1548
115.935,51.5094
116.02,77.8423
116.109,104.767
116.171,117.248
116.225,120.656
116.27,117.883
116.337,105.655
116.503,60.9496
116.565,47.4149
116.623,37.8713
116.681,30.9091
116.747,25.4143
116.812,21.618
116.903,18.0573
117.01,15.3603
117.148,13.1443
117.286,11.7047
117.396,10.9009
117.619,9.91205
117.843,9.62372
118.035,10.0496
118.164,10.9346
118.26,12.2312
118.325,13.6887
118.38,15.6828
118.427,18.3119
118.468,21.8061
118.504,26.1799
118.539,32.4143
118.571,40.2491
118.604,51.426
118.637,66.4129
118.673,87.5951
118.713,117.814
118.763,166.294
118.899,319.523
118.952,360.585
119.001,373.587
119.047,362.38
119.099,324.449
119.187,226.52
119.256,150.297
119.303,108.826
119.341,81.7952
119.379,61.9824
119.41,49.4624
119.445,38.6413
119.48,31.1272
119.515,25.7388
119.554,21.4145
119.604,17.8089
119.653,15.425
119.713,13.492
119.792,11.7872
119.891,10.4098
120.004,9.39819
120.174,8.52082
120.364,8.13162
120.404,8.1237
120.545,8.40726
120.635,9.13572
120.686,10.0136
120.739,11.5826
120.781,13.5954
120.822,16.5484
120.865,20.7622
120.913,27.1556
120.984,39.2438
121.071,54.327
121.122,60.3302
121.168,62.1797
121.219,59.8243
121.272,52.9583
121.415,26.1242
121.461,19.1246
121.497,14.8029
121.533,11.5201
121.566,9.32445
121.598,7.78177
121.637,6.52956
121.669,5.849
121.707,5.32709
121.759,4.94046
121.839,4.68268
122.079,4.53646
122.667,4.65715
122.947,4.88608
123.067,5.17207
123.156,5.67466
123.228,6.4751
123.284,7.49188
123.35,9.25621
123.455,13.0402
123.529,15.617
123.595,17.0422
123.63,17.2777
123.696,16.6621
123.765,14.8099
123.904,10.1952
123.978,8.37885
124.037,7.42476
124.11,6.69546
124.208,6.21668
124.349,5.96204
124.517,5.8849
125.091,6.09211
125.734,6.64235
125.88,6.99865
125.953,7.50211
126.003,8.16259
126.062,9.45459
126.121,11.5241
126.191,14.8794
126.308,21.1829
126.371,23.2137
126.407,23.5857
126.469,22.7618
126.547,19.7121
126.667,14.2565
126.74,11.9721
126.813,10.673
126.886,10.0741
127.005,9.84965
127.179,10.166
127.291,10.7483
127.376,11.6137
127.485,13.5261
127.626,16.3751
127.709,17.0165
127.78,16.527
127.989,12.9524
128.086,12.2125
128.152,12.1226
