26-Fe-56(n,&gamma;) ENDF/B-VII.1
53641.7,0.00164808
53646.0,0.00160002
53648.8,0.00164646
53650.4,0.0017436
53651.8,0.0019169
53653.0,0.0021799
53654.1,0.00254441
53655.2,0.00309325
53656.1,0.00376744
53657.0,0.00469363
53657.9,0.0059455
53658.8,0.00761024
53659.7,0.00978616
53660.6,0.012581
53661.7,0.0167834
53662.8,0.0221623
53664.0,0.0299332
53665.3,0.040901
53667.1,0.0581117
53670.7,0.10132
53673.1,0.128719
53675.2,0.144645
53677.0,0.148983
53679.0,0.143051
53681.1,0.126208
53684.5,0.0860033
53687.2,0.054607
53689.0,0.0379843
53690.3,0.0275181
53691.6,0.0200877
53692.7,0.0149268
53693.7,0.0110685
53694.6,0.00850982
53695.5,0.00652238
53696.4,0.00500371
53697.3,0.00386016
53698.2,0.00301096
53699.2,0.00238791
53700.1,0.00193546
53701.1,0.00157088
53702.0,0.00135671
53703.2,0.00115015
53704.7,9.89203E-4
53706.2,8.90111E-4
53708.6,7.94583E-4
53712.2,7.10238E-4
53718.2,6.22507E-4
53728.0,5.33173E-4
53740.4,4.60998E-4
53755.2,4.0239E-4
53781.3,3.36004E-4
53811.0,2.87281E-4
53844.8,2.50551E-4
53907.0,2.09451E-4
53963.4,1.86382E-4
54076.3,1.58749E-4
54191.9,1.43403E-4
54324.0,1.30609E-4
54500.1,1.20062E-4
54763.0,1.10037E-4
55025.8,1.03545E-4
55551.6,9.58547E-5
56340.3,9.1488E-5
56603.1,9.09359E-5
57262.5,9.39144E-5
57694.6,1.01066E-4
57970.2,1.10492E-4
58180.5,1.23693E-4
58338.2,1.40814E-4
58448.1,1.59635E-4
58553.5,1.85714E-4
58632.6,2.1577E-4
58711.5,2.60471E-4
58774.6,3.14258E-4
58829.8,3.83497E-4
58877.1,4.70439E-4
58917.9,5.78638E-4
58950.7,7.02782E-4
58980.3,8.58038E-4
59006.6,0.00105132
59029.6,0.00128631
59051.9,0.00160593
59070.3,0.00197484
59087.4,0.00245371
59103.2,0.00307783
59116.0,0.00378667
59127.5,0.00466223
59138.5,0.00582801
59147.7,0.00718078
59155.8,0.00880382
59163.6,0.011013
59170.6,0.0137309
59176.5,0.0169777
59181.4,0.0206855
59186.0,0.0254117
59189.9,0.0309568
59193.9,0.0386932
59197.0,0.0474378
59199.8,0.0581971
59202.1,0.0708262
59204.1,0.0865406
59206.1,0.108198
59207.9,0.136047
59209.5,0.172274
59211.0,0.21687
59212.5,0.276596
59214.0,0.3556
59215.5,0.463338
59217.1,0.607652
59219.1,0.830754
59221.6,1.19031
59227.1,2.07371
59229.7,2.34651
59232.0,2.43609
59234.0,2.37015
59236.3,2.14224
59240.0,1.59243
59243.5,1.02585
59245.7,0.732132
59247.5,0.547364
59249.2,0.411596
59250.7,0.319541
59252.1,0.249235
59253.7,0.194398
59255.0,0.159353
59256.6,0.126769
59258.3,0.103225
59260.3,0.0830798
59262.2,0.0687637
59264.6,0.0564359
59267.6,0.0455803
59270.5,0.0378026
59274.1,0.030972
59278.0,0.0254258
59282.6,0.0206986
59287.9,0.0167798
59293.6,0.0136658
59300.7,0.0109149
59308.6,0.00873614
59316.5,0.00716098
59325.3,0.00585632
59335.7,0.00474333
59347.0,0.00385769
59360.2,0.0031147
59375.3,0.00250301
59393.0,0.00199504
59412.7,0.00159896
59433.4,0.00130195
59458.7,0.00104335
59481.7,8.73485E-4
59510.7,7.17431E-4
59542.2,5.93992E-4
59581.6,4.8459E-4
59621.1,4.06507E-4
59671.6,3.37183E-4
59723.1,2.85472E-4
59781.0,2.43961E-4
59850.5,2.10337E-4
59943.1,1.78371E-4
60035.7,1.56941E-4
60151.5,1.38971E-4
60290.4,1.25444E-4
60383.0,1.17864E-4
60568.3,1.08576E-4
60753.5,1.02686E-4
61124.0,9.62734E-5
